TourID_Dimension,TourHasLodging,TourAccommodationName,ProgramsBu,Close Rate Curr,Average Sale Curr,VPGnn Curr,Rescind Vol,Rescind%(Sales),,,,,
299500,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
299954,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300007,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300051,TRUE,DoubleTree,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300527,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300803,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300811,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300835,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
300902,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
301781,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
301785,TRUE,GC8,Outbound,0,$0 ,$0 ,"$49,470 ",1,,,,,
302156,TRUE,Gold Point,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
302377,TRUE,Grand Timber,Outbound,1,"$22,539 ","$22,539 ",$0 ,0,,,,,
302618,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
302632,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
303085,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
303919,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
304202,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
304773,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
304882,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
305338,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
306076,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
307278,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
307707,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
308022,TRUE,GC8,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
308026,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
308225,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
308354,TRUE,Grand Timber,Outbound,1,"$17,990 ","$17,990 ",$0 ,0,,,,,
308672,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
309250,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
309355,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
309586,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
310145,TRUE,Breck Inn,Outbound,1,"$43,595 ","$43,595 ",$0 ,0,,,,,
